symbol,company,date,open,close,high,low,volume
002607.SZ,中公教育,2025-01-02,3.4,3.34,3.47,3.3,338824900
002607.SZ,中公教育,2025-01-03,3.34,3.11,3.37,3.1,380305366
002607.SZ,中公教育,2025-01-06,3.07,3.01,3.1,2.96,332488313
002607.SZ,中公教育,2025-01-07,3.07,3.17,3.19,3.06,396608033
002607.SZ,中公教育,2025-01-08,3.18,3.21,3.24,3.04,376880355
002607.SZ,中公教育,2025-01-09,3.2,3.22,3.28,3.17,268138134
002607.SZ,中公教育,2025-01-10,3.19,3.08,3.24,3.08,235431948
002607.SZ,中公教育,2025-01-13,3.03,3.06,3.1,3.0,167314400
002607.SZ,中公教育,2025-01-14,3.06,3.22,3.24,3.06,329659882
002607.SZ,中公教育,2025-01-15,3.2,3.17,3.24,3.13,262699109
002607.SZ,中公教育,2025-01-16,3.24,3.27,3.29,3.16,391567246
002607.SZ,中公教育,2025-01-17,3.24,3.34,3.43,3.21,447024213
002607.SZ,中公教育,2025-01-20,3.5,3.39,3.55,3.38,416526144
002607.SZ,中公教育,2025-01-21,3.37,3.29,3.41,3.25,287681861
002607.SZ,中公教育,2025-01-22,3.25,3.28,3.38,3.21,235380790
002607.SZ,中公教育,2025-01-23,3.35,3.33,3.43,3.3,328243902
002607.SZ,中公教育,2025-01-24,3.32,3.3,3.33,3.25,246669294
002607.SZ,中公教育,2025-01-27,3.35,3.25,3.39,3.25,205850300
002607.SZ,中公教育,2025-02-05,3.27,3.37,3.42,3.26,333669251
002607.SZ,中公教育,2025-02-06,3.34,3.45,3.46,3.27,397865424
002607.SZ,中公教育,2025-02-07,3.42,3.48,3.53,3.38,450047122
002607.SZ,中公教育,2025-02-10,3.51,3.76,3.83,3.49,797342222
002607.SZ,中公教育,2025-02-11,3.65,3.7,3.86,3.61,655168472
002607.SZ,中公教育,2025-02-12,3.67,3.81,3.94,3.67,607137873
002607.SZ,中公教育,2025-02-13,3.76,3.66,3.78,3.66,478831167
002607.SZ,中公教育,2025-02-14,3.63,3.72,3.78,3.59,420526799
002607.SZ,中公教育,2025-02-17,3.73,3.93,4.09,3.73,853710208
002607.SZ,中公教育,2025-02-18,3.83,3.68,3.89,3.66,594826546
002607.SZ,中公教育,2025-02-19,3.66,3.7,3.73,3.64,359664395
002607.SZ,中公教育,2025-02-20,3.7,3.73,3.79,3.68,344207513
002607.SZ,中公教育,2025-02-21,3.69,3.68,3.73,3.59,411808037
002607.SZ,中公教育,2025-02-24,3.64,3.59,3.65,3.55,341419960
002607.SZ,中公教育,2025-02-25,3.52,3.54,3.59,3.5,224233125
002607.SZ,中公教育,2025-02-26,3.57,3.66,3.71,3.57,377222972
002607.SZ,中公教育,2025-02-27,3.69,3.63,3.76,3.57,305847307
002607.SZ,中公教育,2025-02-28,3.6,3.42,3.61,3.41,298601648
002607.SZ,中公教育,2025-03-03,3.41,3.37,3.46,3.35,213625256
002607.SZ,中公教育,2025-03-04,3.36,3.45,3.46,3.33,210730519
002607.SZ,中公教育,2025-03-05,3.46,3.47,3.54,3.42,199539902
002607.SZ,中公教育,2025-03-06,3.48,3.55,3.57,3.48,311161652
002607.SZ,中公教育,2025-03-07,3.52,3.48,3.59,3.46,275717669
002607.SZ,中公教育,2025-03-10,3.48,3.46,3.55,3.43,182680967
002607.SZ,中公教育,2025-03-11,3.38,3.44,3.44,3.37,147138788
002607.SZ,中公教育,2025-03-12,3.46,3.45,3.48,3.43,174767000
002607.SZ,中公教育,2025-03-13,3.43,3.37,3.44,3.33,200858600
002607.SZ,中公教育,2025-03-14,3.37,3.48,3.5,3.35,266381547
002607.SZ,中公教育,2025-03-17,3.48,3.48,3.54,3.45,219246660
002607.SZ,中公教育,2025-03-18,3.49,3.5,3.57,3.48,234553233
002607.SZ,中公教育,2025-03-19,3.49,3.46,3.54,3.45,201403292
002607.SZ,中公教育,2025-03-20,3.44,3.43,3.48,3.41,159531400
002607.SZ,中公教育,2025-03-21,3.41,3.38,3.45,3.37,168308222
002607.SZ,中公教育,2025-03-24,3.39,3.32,3.41,3.25,180731553
002607.SZ,中公教育,2025-03-25,3.32,3.3,3.33,3.26,124486369
002607.SZ,中公教育,2025-03-26,3.28,3.31,3.32,3.27,124329635
002607.SZ,中公教育,2025-03-27,3.29,3.29,3.34,3.25,122915903
002607.SZ,中公教育,2025-03-28,3.29,3.24,3.3,3.23,129125943
002607.SZ,中公教育,2025-03-31,3.21,3.17,3.22,3.12,160760972
002607.SZ,中公教育,2025-04-01,3.17,3.17,3.2,3.15,100820280
002607.SZ,中公教育,2025-04-02,3.15,3.16,3.19,3.14,80120100
002607.SZ,中公教育,2025-04-03,3.14,3.22,3.23,3.12,167381341
002607.SZ,中公教育,2025-04-07,3.07,2.9,3.08,2.9,222273280
002607.SZ,中公教育,2025-04-08,2.8,2.91,2.94,2.8,234810873
002607.SZ,中公教育,2025-04-09,2.85,2.95,2.97,2.65,251859270
002607.SZ,中公教育,2025-04-10,3.0,3.0,3.06,2.96,216370549
002607.SZ,中公教育,2025-04-11,2.96,2.98,3.03,2.94,140620510
002607.SZ,中公教育,2025-04-14,3.02,3.04,3.09,3.02,172971888
002607.SZ,中公教育,2025-04-15,3.05,3.01,3.06,2.98,118710388
002607.SZ,中公教育,2025-04-16,3.0,3.08,3.24,2.97,291571598
002607.SZ,中公教育,2025-04-17,3.02,3.03,3.08,3.0,161416650
002607.SZ,中公教育,2025-04-18,3.01,3.04,3.06,2.98,130704184
002607.SZ,中公教育,2025-04-21,3.03,3.09,3.11,3.01,174396603
002607.SZ,中公教育,2025-04-22,3.09,3.11,3.17,3.07,171464102
002607.SZ,中公教育,2025-04-23,3.1,3.07,3.13,3.06,130708900
002607.SZ,中公教育,2025-04-24,3.08,3.03,3.1,3.01,139912400
002607.SZ,中公教育,2025-04-25,3.03,3.03,3.07,3.0,124535400
002607.SZ,中公教育,2025-04-28,3.01,2.96,3.04,2.96,122489020
002607.SZ,中公教育,2025-04-29,2.96,2.94,2.98,2.93,76684949
002607.SZ,中公教育,2025-04-30,2.95,3.01,3.05,2.95,148641864
002607.SZ,中公教育,2025-05-06,3.03,3.1,3.11,3.03,175061515
002607.SZ,中公教育,2025-05-07,3.14,3.07,3.14,3.05,144061400
002607.SZ,中公教育,2025-05-08,3.07,3.16,3.17,3.05,266050732
002607.SZ,中公教育,2025-05-09,3.15,3.07,3.15,3.06,159819084
002607.SZ,中公教育,2025-05-12,3.09,3.12,3.16,3.07,155382480
002607.SZ,中公教育,2025-05-13,3.15,3.1,3.17,3.09,140431090
002607.SZ,中公教育,2025-05-14,3.1,3.12,3.15,3.07,128367700
002607.SZ,中公教育,2025-05-15,3.11,3.06,3.12,3.05,115935400
002607.SZ,中公教育,2025-05-16,3.06,3.04,3.07,3.03,72355539
002607.SZ,中公教育,2025-05-19,3.04,3.06,3.07,3.01,105963240
002607.SZ,中公教育,2025-05-20,3.05,3.09,3.09,3.03,113573199
002607.SZ,中公教育,2025-05-21,3.08,3.05,3.08,3.04,80937455
002607.SZ,中公教育,2025-05-22,3.05,3.01,3.09,3.01,120234797
002607.SZ,中公教育,2025-05-23,3.06,3.01,3.06,3.01,128961960
002607.SZ,中公教育,2025-05-26,3.01,3.03,3.04,2.97,89109300
002607.SZ,中公教育,2025-05-27,3.02,3.0,3.04,2.99,105574948
002607.SZ,中公教育,2025-05-28,3.0,2.92,3.01,2.91,178276661
002607.SZ,中公教育,2025-05-29,2.91,2.96,2.98,2.9,147489419
002607.SZ,中公教育,2025-05-30,2.94,2.88,2.96,2.87,155333400
002607.SZ,中公教育,2025-06-03,2.87,2.94,2.98,2.85,175071560
002607.SZ,中公教育,2025-06-04,2.93,2.96,3.0,2.92,175842338
002607.SZ,中公教育,2025-06-05,2.96,2.97,2.98,2.93,112716587
002607.SZ,中公教育,2025-06-06,2.96,2.93,2.97,2.91,110560161
002607.SZ,中公教育,2025-06-09,2.95,3.02,3.02,2.94,219573815
002607.SZ,中公教育,2025-06-10,3.02,2.95,3.03,2.92,165807100
002607.SZ,中公教育,2025-06-11,2.95,2.98,3.01,2.94,138630779
002607.SZ,中公教育,2025-06-12,2.98,2.99,3.04,2.96,181317005
002607.SZ,中公教育,2025-06-13,2.98,2.91,2.98,2.91,176130188
002607.SZ,中公教育,2025-06-16,2.9,2.92,2.94,2.88,86714860
002607.SZ,中公教育,2025-06-17,2.92,2.91,2.94,2.89,95104400
002607.SZ,中公教育,2025-06-18,2.9,2.89,2.91,2.87,77474232
002607.SZ,中公教育,2025-06-19,2.87,2.83,2.89,2.81,125751500
002607.SZ,中公教育,2025-06-20,2.81,2.82,2.84,2.8,98929200
002607.SZ,中公教育,2025-06-23,2.81,2.81,2.82,2.78,99302780
002607.SZ,中公教育,2025-06-24,2.82,2.91,2.91,2.81,206925600
002607.SZ,中公教育,2025-06-25,2.92,2.98,2.98,2.89,210638876
002607.SZ,中公教育,2025-06-26,2.97,2.98,3.04,2.96,234463900
002607.SZ,中公教育,2025-06-27,3.0,2.99,3.05,2.97,176503380
002607.SZ,中公教育,2025-06-30,3.02,3.06,3.08,2.97,213738350
002607.SZ,中公教育,2025-07-01,3.06,3.09,3.15,3.05,262746734
002607.SZ,中公教育,2025-07-02,3.07,3.04,3.08,3.02,167047120
002607.SZ,中公教育,2025-07-03,3.03,3.05,3.07,3.03,105084581
002607.SZ,中公教育,2025-07-04,3.04,3.02,3.06,3.01,105153171
002607.SZ,中公教育,2025-07-07,3.01,3.01,3.02,2.99,82548098
002607.SZ,中公教育,2025-07-08,3.01,3.05,3.05,3.0,100811498
002607.SZ,中公教育,2025-07-09,3.05,3.07,3.09,3.03,151192049
002607.SZ,中公教育,2025-07-10,3.07,3.1,3.13,3.06,163657600
002607.SZ,中公教育,2025-07-11,3.1,3.12,3.14,3.07,155666815
002607.SZ,中公教育,2025-07-14,3.12,3.06,3.13,3.04,148958921
002607.SZ,中公教育,2025-07-15,3.05,3.04,3.07,3.0,109548899
002607.SZ,中公教育,2025-07-16,3.02,3.05,3.08,3.02,116216662
002607.SZ,中公教育,2025-07-17,3.05,3.04,3.06,3.02,91489045
002607.SZ,中公教育,2025-07-18,3.04,3.06,3.11,3.03,183130589
002607.SZ,中公教育,2025-07-21,3.06,3.06,3.08,3.03,130381850
002607.SZ,中公教育,2025-07-22,3.06,3.05,3.06,2.98,199573931
002607.SZ,中公教育,2025-07-23,3.04,3.0,3.07,3.0,167336060
002607.SZ,中公教育,2025-07-24,3.0,3.09,3.11,2.99,292732501
002607.SZ,中公教育,2025-07-25,3.09,3.08,3.12,3.06,168654500
002607.SZ,中公教育,2025-07-28,3.08,3.04,3.09,3.03,151751548
002607.SZ,中公教育,2025-07-29,3.03,3.0,3.05,2.92,342786238
002607.SZ,中公教育,2025-07-30,2.99,3.02,3.1,2.98,325896125
002607.SZ,中公教育,2025-07-31,3.01,2.96,3.04,2.95,203513471
002607.SZ,中公教育,2025-08-01,2.96,3.0,3.02,2.96,167616863
002607.SZ,中公教育,2025-08-04,2.98,2.95,2.99,2.93,147744144
002607.SZ,中公教育,2025-08-05,2.96,2.97,3.0,2.95,108953700
002607.SZ,中公教育,2025-08-06,2.98,3.01,3.04,2.95,249516599
